t_ns,id,duration_ns
14733396000,step.unity.e2e,682700
14939320600,step.native.call,617700
14939339700,step.native.parse,18800
14939373200,step.unity.e2e,671000
15139872400,step.native.call,630900
15139890700,step.native.parse,18000
15139924300,step.unity.e2e,683500
15358340400,step.native.call,408200
15358355900,step.native.parse,15300
15358383400,step.unity.e2e,451700
15563452200,step.native.call,711700
15563477500,step.native.parse,25000
15563529100,step.unity.e2e,789300
15793823200,step.native.call,736100
15793846400,step.native.parse,22900
15793902500,step.unity.e2e,816100
15948980800,step.native.call,260800
15948988900,step.native.parse,8000
15949001900,step.unity.e2e,282200
16141993800,step.native.call,265500
16142005400,step.native.parse,11500
16142026100,step.unity.e2e,298100
16351718300,step.native.call,530600
16351737600,step.native.parse,19000
16351770100,step.unity.e2e,583000
16533906000,step.native.call,502000
16533950500,step.native.parse,44100
16533983900,step.unity.e2e,580400
16755667100,step.native.call,296000
16755679100,step.native.parse,11800
16755698600,step.unity.e2e,327900
16940378900,step.native.call,541600
16940400000,step.native.parse,21000
16940428600,step.unity.e2e,591600
17144375200,step.native.call,461800
17144401800,step.native.parse,26300
17144458500,step.unity.e2e,545700
17345051300,step.native.call,373100
17345070800,step.native.parse,19300
17345094600,step.unity.e2e,416700
17531916000,step.native.call,592600
17531934800,step.native.parse,18500
17531970000,step.unity.e2e,647100
17759048900,step.native.call,914100
17759067700,step.native.parse,18400
17759102200,step.unity.e2e,967900
17934040900,step.native.call,1366700
17934075700,step.native.parse,34100
17934141100,step.unity.e2e,1467400
18150961700,step.native.call,630200
18150994400,step.native.parse,32400
18151045200,step.unity.e2e,714200
18344528800,step.native.call,686500
18344549100,step.native.parse,19900
18344585200,step.unity.e2e,743800
18542236300,step.native.call,315500
18542250700,step.native.parse,14200
18542273500,step.unity.e2e,353000
18743798300,step.native.call,597800
18743818200,step.native.parse,19600
18743851800,step.unity.e2e,651800
18941675900,step.native.call,500800
18941694300,step.native.parse,18000
18941729000,step.unity.e2e,554400
19143453800,step.native.call,584600
19143472600,step.native.parse,18500
19143507900,step.unity.e2e,639200
19382291300,step.native.call,268000
19382302500,step.native.parse,11100
19382321200,step.unity.e2e,298200
19556412900,step.native.call,658800
19556460600,step.native.parse,47400
19556495300,step.unity.e2e,741900
19736720700,step.native.call,549900
19736736100,step.native.parse,15100
19736762800,step.unity.e2e,592700
19938053600,step.native.call,242600
19938064300,step.native.parse,10600
19938084200,step.unity.e2e,273500
20145293900,step.native.call,366800
20145325200,step.native.parse,31100
20145357100,step.unity.e2e,430400
20347607300,step.native.call,616500
20347628300,step.native.parse,20500
20347670200,step.unity.e2e,680100
20565604700,step.native.call,442700
20565627500,step.native.parse,22500
20565659400,step.unity.e2e,497900
